sedol,sqrt_adv,Growth,Profit,mkt_adj_return_-2d,specific_-2d,mkt_adj_return_-1d,specific_-1d,mkt_adj_return_0d,specific_0d,mkt_adj_return_1d,specific_1d,mkt_adj_return_2d,specific_2d,mkt_adj_return_3d,specific_3d,mkt_adj_return_5d,specific_5d,mkt_adj_return_10d,specific_10d,mkt_adj_return_21d,specific_21d,mkt_adj_return_42d,specific_42d,mkt_adj_return_63d,specific_63d
2005973,30388.41884665933,-0.0363592,0.682919,,,,,,9.325339e-05,0.016958922064150395,0.00509277311,0.01271392925547632,0.00594318001,0.007372019562571719,0.00073249015,-0.010229651150506558,-0.01275545739,-0.018860199613723427,-0.01786453139,0.060340303604007106,0.04138544661,0.09067914337262706,0.03311848061,0.1497314809359458,0.04623717961
2005973,30479.337263136153,-0.0361531,0.682859,,,0.016676113160724815,0.0050266190484381254,0.016958922064150395,0.00509277311,-0.004174202828230222,0.0008393602915609211,-0.009427030230601652,-0.004303643792863997,-0.021622026900516178,-0.008990980085808635,-0.025423634885012536,-0.025575750518096216,-0.029433367623078466,-0.02287413677308602,0.04525021212790681,0.02881085611185843,0.07738404305133195,0.02746449720085731,0.13294437483016597,0.04258718434143995
2005973,30247.809838069268,-0.0357102,0.683609,0.012554314587954196,0.005890007595362387,-0.0041916998335305156,0.0008427984835930595,-0.004174202828230222,0.0008393602915609211,-0.005274845678119644,-0.00516407088475144,-0.017520960113545203,-0.009870607469223316,-0.022655539479792153,-0.018531344519872147,-0.015086232185000492,-0.01672428882896631,-0.01791732432114146,-0.027338265486014278,0.04511635306428663,0.020765108276829102,0.08847792813889366,0.04266502044008088,0.1432398215081503,0.03609930088698677
2005973,30268.00290736077,-0.0864582,0.683267,-0.009516744872208882,-0.004341865243937832,-0.0053028172206175395,-0.005188680048432749,-0.005274845678119644,-0.00516407088475144,-0.012311053341939493,-0.0047289653875933315,-0.01747286044407037,-0.013430974818199135,-0.016148840259728514,-0.021461028212596954,-0.01833347948622832,-0.01623471764868281,-0.01309058945793351,-0.026874128435269474,0.06442681682112283,0.02553581134953378,0.10207226568433203,0.05456429769488176,0.1486499568295705,0.04337357053188443
2005973,30191.505427851724,-0.0862421,0.687424,-0.01783341873183386,-0.010032828475016721,-0.012464504521990438,-0.004783887355527971,-0.012311053341939493,-0.0047289653875933315,-0.005226146470097115,-0.00880307413371582,-0.003885623030180252,-0.016926388167364165,0.0024781474511925694,-0.006966319927027902,-0.013805202021137553,-0.013912547029121146,0.04323044422048894,0.02253913382477387,0.07291844956852067,0.03233571365575206,0.09288844183755884,0.0501450397662737,0.14108222066698506,0.04007981419991601
2005973,30280.37318131994,-0.0873624,0.688887,-0.017783590641544667,-0.013658042340865517,-0.005253602566605897,-0.008849127845342888,-0.005226146470097115,-0.00880307413371582,0.0013475660173014603,-0.00816581154716228,0.007744769219608427,0.0018463632758925763,-0.0008759239389019013,-0.0028511436295566447,-0.008719748447959641,-0.0051735038861676335,0.05730039862500114,0.04251300329064105,0.08037248206726,0.04224181293476321,0.10253580195116774,0.05732695862384886,0.14355886212620295,0.040546044135374
2005973,30274.163902575412,-0.0882966,0.689707,-0.0039007799907480045,-0.017041215735624882,0.0013457525269283677,-0.008178422092584422,0.0013475660173014603,-0.00816581154716228,0.006388594149932203,0.010027636725971834,-0.002220497688976142,0.005322875413062943,-0.009958273086201896,0.0030342868497324807,-0.004114334065132841,0.002775967436571748,0.06652760623836684,0.05694788473053908,0.08197730525765534,0.05340515358572799,0.11488143843377152,0.06544211472681664,0.14189021942857183,0.05000117877520589
2005973,30290.42753082234,-0.0881402,0.690542,0.007685248741708506,0.0018389704204738073,0.006348039104446035,0.009972085983626169,0.006388594149932203,0.010027636725971834,-0.008554440987261214,-0.004678698044899356,-0.016243096683683955,-0.006954608367374968,-0.016337983753880514,-0.00699175954983369,-0.0028744568597326436,-0.010801431972539995,0.0593307963468348,0.04049332445615464,0.07623202691122533,0.04034640603257101,0.11304373226383513,0.05804736608343129,0.1303053445967126,0.04751694228461538
2005973,30524.580259194394,-0.0880415,0.691434,-0.0022254392717360183,0.00534528114938585,-0.008628250849980645,-0.004724565203336339,-0.008554440987261214,-0.004678698044899356,-0.007754995346470617,-0.002298221986606867,-0.007850701126111193,-0.0023357373770472967,-0.0018980509940024204,-0.0025576287512851957,0.00534080557779526,-0.010881603996284907,0.06492672378359643,0.04517678050231666,0.07895843386465695,0.048159014708071976,0.12317653868550438,0.06601888564840713,0.12263914698320288,0.05520605205986166
2005973,30517.421254096815,-0.0874588,0.692162,-0.016511291182737642,-0.007077272960518998,-0.007815605329430264,-0.002316052570463063,-0.007754995346470617,-0.002298221986606867,-9.645377824196721e-05,-3.780645079884791e-05,0.005902719917963539,-0.00026141935271265095,0.013589373328801724,-0.0039146734433583635,0.0578340570833642,0.03713936954278352,0.070985962222464,0.046990682106733864,0.08972200779488704,0.048279713142559,0.15034611705447065,0.06737973407086606,0.1341581997682768,0.04918831086573602
